RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023
91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1670.67958,1677.364199,1687.517873,1695.160948,1697.510931,1701.416695,1710.3549,1708.512832,1701.674822,1684.887918,1677.017981,1658.923355,1650.548343,1634.082188,1642.655984,1639.679715,1637.359689,1633.041221,1622.430344,1621.330559,1611.609091,1593.093165,1570.900945,1545.586664,1568.214357,1594.263081,1622.260922,1622.527992,1631.327044,1639.696952,1640.143245,1626.678285,1636.747992,1650.103216,1669.185555,1667.790119,1676.064048,1682.040184,1684.121607,1679.19396,1676.353682,1677.694205,1674.195982,1663.917755,1651.429259,1651.167845,1656.141427,1660.567722,1667.05719,1672.376307,1684.009855,1686.980125,1688.365178,1687.87251,1686.988822,1696.027473,1688.043986,1691.842766,1690.093161,1699.133196,1702.898118,1709.620899,1714.93976,1721.618555,1710.420463,1706.829392,1700.061454,1712.753442,1726.807654,1728.871787,1737.771626,1741.989911,1750.558851,1749.694106,1752.583472,1774.572425,1809.423418,1857.340919,1894.41477,1923.045853,1939.394876,1954.200078,1981.019377,1991.060567,2002.853422,1998.962215,2007.723232,2021.183378,2045.087741,2069.488697,2095.183821,2095.7172,2087.595939,2075.255234,2061.137924,2069.625818,2103.173183,2118.118682,2123.200935,2089.117986,2096.496744,2105.715103,2119.451238
91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,1274.676753,1271.975472,1278.886417,1291.812335,1302.763435,1313.012879,1314.878175,1319.003542,1320.000031,1320.212232,1317.010855,1313.343672,1305.694289,1304.925943,1314.154481,1327.291715,1334.205204,1326.308187,1318.496612,1311.728871,1308.238965,1305.971736,1297.884461,1291.462792,1289.408756,1299.073444,1308.583463,1314.929316,1316.524802,1321.812461,1329.982292,1331.904615,1336.661345,1335.384858,1342.728888,1344.123145,1356.402557,1361.387338,1364.867872,1366.497729,1372.348346,1379.618544,1380.414311,1380.833931,1377.638687,1374.92869,1375.560749,1370.498405,1368.103607,1367.157094,1373.664825,1377.791227,1385.06995,1390.049417,1398.325632,1395.758815,1399.843581,1396.166157,1394.108199,1393.754537,1401.370621,1411.032998,1420.971958,1417.164267,1406.533843,1407.302126,1420.632425,1440.403504,1449.972832,1452.33555,1460.327404,1471.036184,1478.816097,1486.20241,1490.776645,1508.730283,1544.829369,1585.411657,1629.704838,1639.892309,1647.055823,1655.443685,1661.295636,1679.253456,1676.440777,1702.19997,1724.156517,1746.334066,1729.050071,1725.464304,1764.077291,1826.989721,1826.638376,1811.10274,1773.456256,1772.820748,1762.328884,1772.942839,1784.288476,1784.750453,1789.217743,1799.360782,1807.361463
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,,,,,,,,,,,,,,,,,1266.303505,1252.150121,1255.943896,1266.096634,1272.054776,1270.294157,1265.128344,1261.927803,1258.690797,1258.659986,1272.510518,1276.753831,1285.681467,1288.073456,1295.87967,1297.884698,1313.55615,1324.238801,1335.408316,1325.55843,1322.262602,1317.804063,1317.326216,1325.711504,1330.183044,1338.667574,1333.768432,1339.594314,1342.854962,1340.770234,1348.614411,1348.481457,1352.443823,1339.282622,1350.626354,1364.686992,1384.607822,1382.233505,1386.134021,1383.990482,1381.025666,1374.44929,1375.967192,1380.945501,1385.101313,1389.974067,1398.48464,1396.541685,1399.410024,1403.458852,1416.059602,1422.141589,1432.306315,1443.579092,1439.55452,1439.004435,1435.117263,1443.219257,1449.77072,1462.846686,1500.088209,1530.662947,1581.931725,1627.452068,1661.2225,1656.489328,1641.611583,1647.334046,1666.199403,1683.109264,1692.751979,1704.260368,1719.85346,1738.547579,1753.111078,1731.997765,1727.427261,1711.522493,1726.142851,1717.839329,1719.081915,1717.283184,1733.740666,1745.658694,1762.497318,1768.14239,1764.616554
93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.240224,1233.889622,1237.971487,1238.328781,1267.646615,1283.514106,1312.441223,1333.116773,1327.169646,1319.633831,1324.5987,1346.090759,1370.498508,1383.318519,1414.119251,1430.703526,1454.056789,1435.609267,1446.655608,1441.710282,1482.989181,1496.340115,1493.516892,1481.837008,1487.743808,1491.369615,1512.230159
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,2075.766241,,2138.943041,2154.969321,2136.912408,2177.527339,2252.111363,2285.979917,2255.742659,2215.020127,2177.19608,2178.307408,2243.829529,2254.828978,2285.970034,2260.428833,2271.037074,2299.528186,2322.002161,2365.634309,2383.48716,2344.259772,2325.323748,2306.149959,2331.308701,2330.102892,2319.379468,2327.848442,2318.965074,2337.755385,2336.416518,2381.081302,2353.69734,2360.862468,2334.439707,2329.263918,2307.703354,2308.549426,2324.175979,2345.595985,2356.231558,2369.629626,2372.394359,2391.637012,2410.151532,2411.265679,2406.366782,2387.855171,2407.280396,2394.786596,2408.179443,2391.855549,2441.738702,2470.139789,2484.652744,2472.776054,2465.84062,2489.138283,2484.322146,2490.167633,2514.272131,2512.829636,2504.872472,2491.134291,2481.935391,2482.548114,2425.654808,2398.533411,2372.289907,2356.398557,2326.844871,2311.099555,2285.282394,2290.922187,2272.26048,2315.096904,2351.723364,2405.166052,2446.742872,2495.078269,2547.313542,2572.666171,2585.677556,2587.242225,2593.200984,2610.410131,2658.168418,2723.335043,2822.005019,2886.084842,2964.371173,2978.512297,2990.216342,2951.041683,2911.259994,2869.472729,2848.934383,2857.651192,2890.163751,2941.074493,2982.38238,3008.639996
92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1368.356592,1380.113034,1365.936638,1360.125077,1372.326491,1388.766732,1404.312855,1412.475153,1408.992479,1406.664667,1405.739816,1415.592076,1422.856713,1431.00525,,1435.916439,1438.258612,1458.152195,1475.526474,1478.00559,1470.710333,1464.090192,1456.784509,1439.962273,1428.483714,1438.592302,1465.331194,1486.137714,1484.057699,1485.303096,1479.246033,1492.85327,1498.232928,1497.14936,1491.255341,1481.959873,1484.338093,1495.901832,1506.463417,1520.970163,1523.188343,1529.744176,1527.231478,1529.463207,1532.00989,1531.812894,1538.824565,1538.930694,1537.018833,1539.256967,1544.188674,1560.195428,1560.433151,1564.996073,1570.109104,1573.461435,1572.87658,1570.13404,1571.766598,1576.930381,1583.008157,1591.151116,1610.908554,1613.006211,1609.354572,1590.266571,1603.973304,1607.672466,1620.29456,1619.88829,1629.499744,1627.117182,1639.932486,1633.120064,1647.907522,1661.776115,1721.408329,1777.818734,,,1926.740071,1970.774433,1964.847839,1974.892543,1969.576047,1984.836294,2007.114374,2014.516551,2030.115666,2043.873993,2068.054365,2060.924424,2056.731196,2048.095773,2061.622474,2045.68685,2062.559699,2064.991476,2073.786251,2062.91341,2074.940477,2077.027073,2078.09129
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280.223588,2316.531045,2310.89678,2339.589657,2362.747268,2382.231877,2364.327825,2383.837939,2405.622892,2412.646301,2480.770679,2504.454228,2473.222353,2518.795468,2558.553358,2689.256964,2649.444444
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2686.845336,2711.875
91926,11,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,1330.030261,1326.093957,1333.951303,1342.730912,1343.364141,1349.738904,1357.155072,1377.058491,1381.377634,1377.616068,1364.373539,1356.791425,1359.974317,1365.998605,1388.98316,1388.128332,1386.308697,1366.559289,1369.783084,1372.563997,1376.727064,1372.54997,1354.650259,1343.3513,1344.613934,1367.606187,1376.982671,1376.950195,1379.473703,1386.105044,1394.323047,1400.047678,1408.759489,1425.003843,1427.925812,1435.662501,1432.429305,1450.217065,1462.72311,1463.499327,1453.203596,1442.932741,1447.328065,1449.40774,1455.776018,1453.473743,1436.509054,1436.168957,1434.529088,1449.044375,1440.139153,1451.094786,1467.065834,1485.702765,1489.981786,1480.538076,1479.471897,1486.842711,1484.631064,1483.809201,1478.646557,1486.691411,1504.950116,1512.83984,1514.486312,1504.207777,1509.035965,1524.147789,1541.999844,1551.526573,1574.352821,1583.480966,1590.011672,1569.532897,1560.589248,1577.767254,1616.204529,1669.672505,1713.368322,1743.204137,1773.557896,1779.09637,1801.208325,1817.544869,1840.307645,1841.07069,1839.611508,1857.863197,1878.033998,1884.906078,1900.090919,1917.402464,1903.401239,1890.810072,1887.282103,1891.668331,1895.623103,1895.720689,1890.996497,1883.41767,1875.509881,1903.491084,1928.523183
84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.9888812,947.0940873,942.1794415,946.8665282,937.4313497,954.8360389,975.5501666,997.3715307,1011.374026,1023.333761,1012.104585,1014.15851,1020.234566,1059.29545,1079.068797,1094.279582,1059.272248,1063.908935,1051.828987,1090.581504,1108.073347,1125.309029,1125.280052,1111.96233,1128.527554,1142.587724,1165.557556,1177.169702,1157.0397,1130.677249
